1;0;0
1;1;0
1;1;1
0;1;1
1;1;1
1;0;1
1;1;1
1;1;2
2;1;2
1;1;2
1;2;2
1;2;3
1;1;3
2;1;3
1;1;3
1;2;3
1;2;4
2;2;4
2;2;3
1;2;3
1;3;3
1;2;3
1;2;4
2;2;4
2;3;4
2;3;5
1;3;5
1;2;5
2;2;5
2;3;5
2;3;6
3;3;6
2;3;6
2;2;6
2;3;6
2;3;5
2;3;6
3;3;6
3;4;6
2;4;6
2;3;6
2;3;7
3;3;7
2;3;7
2;2;7
2;3;7
2;3;8
3;3;8
3;4;8
3;3;8
2;3;8
2;3;9
2;3;8
3;3;8
3;4;8
3;3;8
2;3;8
2;3;9
3;3;9
3;4;9
3;3;9
3;3;10
4;3;10
3;3;10
3;4;10
3;3;10
3;3;11
3;3;10
4;3;10
4;4;10
4;4;11
3;4;11
3;3;11
4;3;11
4;4;11
4;3;11
4;3;12
3;3;12
4;3;12
4;4;12
4;4;13
3;4;13
3;3;13
4;3;13
4;3;12
4;4;12
4;4;13
5;4;13
4;4;13
4;5;13
4;4;13
4;4;14
5;4;14
5;5;14
5;5;15
5;5;14
5;4;14
4;4;14
5;4;14
5;5;14
5;5;15
5;4;15
6;4;15
5;4;15
5;5;15
5;5;14
5;5;15
5;4;15
6;4;15
6;5;15
5;5;15
5;5;16
6;5;16
6;5;15
6;6;15
6;5;15
6;5;16
5;5;16
6;5;16
6;6;16
6;5;16
6;5;17
7;5;17
7;6;17
6;6;17
6;6;18
7;6;18
7;6;17
7;5;17
7;6;17
6;6;17
6;6;18
7;6;18
7;7;18
7;6;18
6;6;18
6;6;19
7;6;19
7;7;19
7;6;19
7;6;20
6;6;20
7;6;20
7;6;19
7;7;19
7;7;20
6;7;20
7;7;20
7;6;20
7;7;20
7;7;21
7;6;21
8;6;21
7;6;21
7;7;21
7;7;22
7;6;22
8;6;22
8;7;22
7;7;22
7;7;23
7;7;22
8;7;22
8;6;22
7;6;22
7;5;22
6;5;22
6;5;21
6;4;21
5;4;21
5;3;21
4;3;21
4;2;21
4;2;20
4;1;20
3;1;20
3;0;20
2;0;20
2;0;19
1;0;19
0;0;19
0;0;18
0;0;17
0;0;16
0;0;15
0;0;14
0;0;13
0;0;12
0;0;11
0;0;10
0;0;9
0;0;8
0;0;7
0;0;6
0;0;5
0;0;4
0;0;3
0;0;2
0;0;1
0;0;0
