0;1;0
1;1;0
1;2;0
1;1;0
1;1;1
0;1;1
0;1;2
0;2;2
1;2;2
1;2;1
2;2;1
2;3;1
1;3;1
1;3;2
2;3;2
2;3;3
2;3;2
2;4;2
2;3;2
2;4;2
1;4;2
1;5;2
1;5;1
1;6;1
1;7;1
2;7;1
1;7;1
1;7;2
1;7;3
1;8;3
2;8;3
2;7;3
3;7;3
3;7;4
3;7;3
2;7;3
2;8;3
3;8;3
3;8;4
2;8;4
2;8;3
3;8;3
3;9;3
3;9;2
3;10;2
2;10;2
2;10;3
2;9;3
3;9;3
3;9;4
2;9;4
2;10;4
2;10;3
2;11;3
2;12;3
2;11;3
1;11;3
1;11;4
2;11;4
2;12;4
1;12;4
1;13;4
1;12;4
1;12;5
0;12;5
1;12;5
2;12;5
2;12;4
3;12;4
4;12;4
5;12;4
5;12;5
5;12;6
5;12;5
4;12;5
4;13;5
5;13;5
5;12;5
6;12;5
7;12;5
6;12;5
6;12;6
7;12;6
7;11;6
8;11;6
8;11;7
7;11;7
7;12;7
7;12;8
7;11;8
7;11;7
8;11;7
9;11;7
9;11;8
9;11;7
9;11;8
10;11;8
10;10;8
10;10;9
10;10;8
9;10;8
9;10;9
10;10;9
11;10;9
11;9;9
11;10;9
11;10;8
10;10;8
10;10;9
10;9;9
10;10;9
10;10;10
9;10;10
9;11;10
10;11;10
11;11;10
11;11;11
11;11;10
12;11;10
12;12;10
13;12;10
13;11;10
13;11;9
13;11;10
12;11;10
12;12;10
12;13;10
12;14;10
12;13;10
12;13;9
12;14;9
11;14;9
11;15;9
11;16;9
11;15;9
12;15;9
12;16;9
12;16;8
12;16;9
12;16;10
13;16;10
13;16;9
13;16;10
14;16;10
13;16;10
13;17;10
13;16;10
13;17;10
13;17;9
13;17;10
13;17;11
12;17;11
13;17;11
13;17;10
13;17;11
13;18;11
12;18;11
12;19;11
12;19;10
12;18;10
12;17;10
11;17;10
11;16;10
11;16;9
11;16;8
10;16;8
10;15;8
10;14;8
10;13;8
10;13;7
9;13;7
8;13;7
8;13;6
7;13;6
7;13;5
7;12;5
6;12;5
6;12;4
6;11;4
5;11;4
5;11;3
5;10;3
5;10;2
4;10;2
4;9;2
4;9;1
4;9;0
3;9;0
3;8;0
3;7;0
2;7;0
2;6;0
1;6;0
0;6;0
0;5;0
0;4;0
0;3;0
0;2;0
0;1;0
0;0;0
