1;0;0
1;1;0
1;1;1
0;1;1
1;1;1
1;0;1
1;1;1
1;1;2
2;1;2
1;1;2
1;2;2
1;2;3
1;1;3
2;1;3
1;1;3
1;2;3
1;2;4
2;2;4
2;2;3
1;2;3
1;3;3
1;2;3
1;2;4
2;2;4
2;3;4
1;3;4
1;3;5
1;2;5
2;2;5
2;3;5
2;3;6
1;3;6
2;3;6
2;2;6
2;2;5
2;3;5
2;3;6
3;3;6
2;3;6
2;4;6
2;3;6
2;3;7
1;3;7
2;3;7
2;2;7
2;3;7
2;3;8
3;3;8
3;2;8
2;2;8
2;3;8
2;3;7
2;3;8
3;3;8
2;3;8
2;2;8
2;3;8
2;3;9
3;3;9
3;2;9
3;3;9
3;3;10
2;3;10
3;3;10
3;2;10
3;3;10
3;3;9
3;3;10
4;3;10
3;3;10
3;2;10
3;3;10
3;3;11
3;2;11
4;2;11
3;2;11
3;3;11
3;3;12
2;3;12
3;3;12
3;2;12
3;3;12
3;3;13
3;3;12
4;3;12
3;3;12
3;4;12
3;3;12
3;3;13
4;3;13
4;4;13
4;3;13
4;3;14
3;3;14
4;3;14
4;3;13
4;2;13
4;3;13
4;3;14
3;3;14
4;3;14
4;4;14
4;3;14
4;3;15
4;3;14
3;3;14
4;3;14
4;4;14
4;4;15
4;3;15
5;3;15
4;3;15
4;4;15
4;4;14
4;4;15
4;3;15
5;3;15
5;4;15
4;4;15
4;4;16
5;4;16
5;5;16
5;4;16
4;4;16
4;4;17
5;4;17
5;5;17
4;5;17
4;4;17
4;4;16
4;4;17
5;4;17
5;5;17
5;4;17
5;4;18
4;4;18
5;4;18
5;5;18
4;5;18
4;5;19
4;4;19
5;4;19
5;5;19
5;5;18
4;5;18
4;5;19
4;4;19
5;4;19
5;5;19
5;4;19
5;4;20
4;4;20
5;4;20
5;5;20
5;5;21
5;4;21
6;4;21
5;4;21
5;5;21
5;5;22
5;5;21
6;5;21
6;4;21
5;4;21
5;5;21
5;5;22
6;5;22
6;4;22
5;4;22
5;4;21
5;3;21
4;3;21
4;2;21
3;2;21
3;1;21
3;1;20
2;1;20
2;0;20
1;0;20
1;0;19
0;0;19
0;0;18
0;0;17
0;0;16
0;0;15
0;0;14
0;0;13
0;0;12
0;0;11
0;0;10
0;0;9
0;0;8
0;0;7
0;0;6
0;0;5
0;0;4
0;0;3
0;0;2
0;0;1
0;0;0
